,year,male,male_d1,female,female_d1
1901-12-31,1901,47.39253809653714,1.4597926236706016,50.381398636428834,1.9047954954336035
1902-12-31,1902,48.54246359950221,1.1499255029650755,51.60093371158629,1.2195350751574594
1903-12-31,1903,48.72346126438912,0.1809976648869096,51.63973617476482,0.03880246317852709
1904-12-31,1904,47.60539263943461,-1.1180686249545104,50.61594118107915,-1.0237949936856694
1905-12-31,1905,48.254718971301074,0.6493263318664617,51.40042638913816,0.7844852080590101
1906-12-31,1906,47.79506315282794,-0.45965581847313075,51.476563766573925,0.07613737743576365
1907-12-31,1907,47.81849039649073,0.02342724366278759,51.73595702855054,0.25939326197661217
1908-12-31,1908,49.74162546723502,1.9231350707442871,53.11406999939041,1.3781129708398723
1909-12-31,1909,50.64930566621181,0.9076801989767915,53.97792677778422,0.86385677839381
1910-12-31,1910,49.605454559947106,-1.0438511062647038,53.10161783730289,-0.87630894048133
1911-12-31,1911,51.31902189676331,1.7135673368162045,54.56465923514159,1.4630413978387011
1912-12-31,1912,51.86385006594568,0.5448281691823667,55.38796257224572,0.8233033371041287
1913-12-31,1913,51.24788383460316,-0.6159662313425187,54.96630227866978,-0.4216602935759397
1914-12-31,1914,52.39807177082146,1.1501879362183018,55.8505381496273,0.884235870957518
1915-12-31,1915,53.028610212808125,0.6305384419866655,56.31164665245705,0.46110850282975235
1916-12-31,1916,51.94866516994512,-1.0799450428630024,55.50202082367337,-0.8096258287836804
1917-12-31,1917,51.70223426437269,-0.2464309055724314,55.4319219530719,-0.0700988706014698
1918-12-31,1918,44.864430103463945,-6.837804160908746,48.60053993360444,-6.831382019467462
1919-12-31,1919,53.71510923872808,8.850679135264137,55.96901186215074,7.368471928546299
1920-12-31,1920,54.03077714938869,0.31566791066060773,55.785619457735734,-0.18339240441500237
1921-12-31,1921,56.77283434481637,2.7420571954276767,58.77662939250235,2.991009934766616
1922-12-31,1922,56.54113465059649,-0.23169969421987702,58.84669983288805,0.07007044038569887
1923-12-31,1923,55.83602924663148,-0.7051054039650069,58.2549279831289,-0.591771849759148
1924-12-31,1924,56.67347562267401,0.8374463760425286,59.420573040548575,1.165645057419674
1925-12-31,1925,56.74519372203044,0.07171809935643125,59.44549426022013,0.024921219671554695
